DATE,GDPPOT
7/1/2013,17068.55201
10/1/2013,17143.44149
1/1/2014,17219.32626
4/1/2014,17296.15209
7/1/2014,17374.23266
10/1/2014,17453.03407
1/1/2015,17532.11313
4/1/2015,17611.17808
7/1/2015,17689.60324
10/1/2015,17766.76
1/1/2016,17843.15
4/1/2016,17918.15
7/1/2016,17991.97
10/1/2016,18065.05
1/1/2017,18137.7
4/1/2017,18211.07
7/1/2017,18287.13
10/1/2017,18365.29
1/1/2018,18446.4
4/1/2018,18530.51
7/1/2018,18617.42
10/1/2018,18705.53
1/1/2019,18794.82
4/1/2019,18885.48
7/1/2019,18976.49
10/1/2019,19065.58
1/1/2020,19153.98
4/1/2020,19242.04
7/1/2020,19327.31
10/1/2020,19414.16
