DATE,JCXFE_CCA
1/1/2015,0.72489
4/1/2015,1.74513
7/1/2015,1.2752
10/1/2015,0.96232
1/1/2016,1.78864
4/1/2016,2.07921
7/1/2016,1.87675
10/1/2016,1.47486
1/1/2017,1.74926
4/1/2017,1.37013
7/1/2017,1.37286
10/1/2017,2.11314
1/1/2018,2.39149
4/1/2018,2.27168
7/1/2018,1.44684
10/1/2018,1.84999
1/1/2019,1.19378
4/1/2019,2.12625
7/1/2019,1.87977
10/1/2019,1.33832
1/1/2020,1.6277
4/1/2020,-0.77224
7/1/2020,3.38607
10/1/2020,1.24621
