DATE,DFII5
2015-01-01,0.10393442622950819672
2015-04-01,-0.10453125000000000000
2015-07-01,0.25921875000000000000
2015-10-01,0.35887096774193548387
2016-01-01,0.13557377049180327869
2016-04-01,-0.23828125000000000000
2016-07-01,-0.21656250000000000000
2016-10-01,-0.05590163934426229508
2017-01-01,0.08016129032258064516
2017-04-01,0.10380952380952380952
2017-07-01,0.16888888888888888889
2017-10-01,0.31935483870967741935
2018-01-01,0.56016393442622950820
2018-04-01,0.69218750000000000000
2018-07-01,0.79873015873015873016
2018-10-01,1.0632786885245902
2019-01-01,0.73180327868852459016
2019-04-01,0.42000000000000000000
2019-07-01,0.17562500000000000000
2019-10-01,0.09209677419354838710
2020-01-01,-0.13870967741935483871
2020-04-01,-0.49238095238095238095
2020-07-01,-1.1912500000000000
2020-10-01,-1.3191935483870968
