DATE,RTFPNAUSA632NRUG
1969-01-01,0.7675699591636658
1970-01-01,0.763371467590332
1971-01-01,0.778538703918457
1972-01-01,0.7908033728599548
1973-01-01,0.801676869392395
1974-01-01,0.7799847722053528
1975-01-01,0.7808749675750732
1976-01-01,0.7962055802345276
1977-01-01,0.8014830946922302
1978-01-01,0.8061374425888062
1979-01-01,0.8000994920730591
1980-01-01,0.786020815372467
1981-01-01,0.7909623384475708
1982-01-01,0.7759283185005188
1983-01-01,0.7914541959762573
1984-01-01,0.8088348507881165
1985-01-01,0.8155462741851807
1986-01-01,0.8243407607078552
1987-01-01,0.8246350884437561
1988-01-01,0.832438051700592
1989-01-01,0.8365651369094849
1990-01-01,0.840258777141571
1991-01-01,0.8375112414360046
1992-01-01,0.8583505749702454
1993-01-01,0.8595259785652161
1994-01-01,0.8646479249000549
1995-01-01,0.8630689382553101
1996-01-01,0.870806872844696
1997-01-01,0.8786720633506775
1998-01-01,0.8874155282974243
1999-01-01,0.8997077345848083
2000-01-01,0.9089835286140442
2001-01-01,0.9107121229171753
2002-01-01,0.9230067133903503
2003-01-01,0.9407809376716614
2004-01-01,0.9571667313575745
2005-01-01,0.9676945805549622
2006-01-01,0.9683090448379517
2007-01-01,0.9665333032608032
2008-01-01,0.960328996181488
2009-01-01,0.9608016014099121
2010-01-01,0.9767066240310669
2011-01-01,0.9748778343200684
2012-01-01,0.9774455428123474
2013-01-01,0.9793617725372314
2014-01-01,0.9839727878570557
2015-01-01,0.9928510785102844
2016-01-01,0.9937177896499634
2017-01-01,1.0
2018-01-01,1.0081819295883179
2019-01-01,1.0168620347976685
